Project Name,Total Commits,AI Copilot Commits,AI Copilot %,AI Manual Commits,AI Manual %,No AI Commits,No AI %
scr_crd_pf_ger_ger_bvs,1,0,0.0,0,0.0,1,100.0
default_cnsscpcssuaneg,7,0,0.0,0,0.0,7,100.0
default_cnsscpcssummneg,7,0,0.0,0,0.0,7,100.0
acerta-positivo-web-scpc-net-novo,27,0,0.0,0,0.0,27,100.0
ic-flex-if-front,10,0,0.0,0,0.0,10,100.0
ic-flex-if-bff,100,0,0.0,0,0.0,100,100.0
BFF - IC FLEX,90,0,0.0,0,0.0,90,100.0
default_scrflrtvneg,7,0,0.0,0,0.0,7,100.0
FRONT - IC FLEX IF,100,0,0.0,0,0.0,100,100.0
default_cepneg,7,0,0.0,0,0.0,7,100.0
default_cdfidneg,7,0,0.0,0,0.0,7,100.0
default_cdfifneg,1,0,0.0,0,0.0,1,100.0
default_debatvpos,7,0,0.0,0,0.0,7,100.0
default_ceppos,7,0,0.0,0,0.0,7,100.0
scr_churn_pf_ger_ger_nio,8,0,0.0,0,0.0,8,100.0
gke-gateways,2,0,0.0,0,0.0,2,100.0
default_pcdrzpgotot,7,0,0.0,0,0.0,7,100.0
default_cnsscpcsssm,11,0,0.0,0,0.0,11,100.0
scr_crd_pf_ger_ger_mercantil,1,0,0.0,0,0.0,1,100.0
default_pcdscatecinco,8,0,0.0,0,0.0,8,100.0
default_ccscacmpgoemdia,7,0,0.0,0,0.0,7,100.0
ignite-enrichment-ready,18,0,0.0,0,0.0,18,100.0
default_cdfidpos,7,0,0.0,0,0.0,7,100.0
BASE_PROP_CG,1,0,0.0,0,0.0,1,100.0
project k6,1,0,0.0,0,0.0,1,100.0
acerta-positivo-web-scpc-net-novo,15,0,0.0,0,0.0,15,100.0
define-positivo-bff-mock,3,0,0.0,0,0.0,3,100.0
scpc-net-novo-front-web,2,0,0.0,0,0.0,2,100.0
scr_crd_pf_ger_ger_yamaha25,1,0,0.0,0,0.0,1,100.0
domain-services,9,0,0.0,0,0.0,9,100.0
Shipping Portal Bff,62,0,0.0,0,0.0,62,100.0
