=== RELATÓRIO DE ADOÇÃO DE INTELIGÊNCIA ARTIFICIAL (Últimos 10 Commits) ===
Data de Geração: 02/10/2025 19:37:00
""
RESUMO POR PROJETO
Projeto,Grupo,Usuários Commits,Total Commits,Commits com IA,% IA,Commits sem IA,% sem IA,% do Total Geral
scr_crd_pf_ger_ger_99,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,1,1,0,0.0,1,100.0,0.0022
scr_crd_pf_vei_ger_p7featvei,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,3,8,0,0.0,8,100.0,0.0176
teste-sa,tech/bigdata/platform/sandbox,1,1,0,0.0,1,100.0,0.0022
scpc-portal,tech/site-reliability-engineering/recuperacao/negativacao-estrategica/scpc-notification,3,10,0,0.0,10,100.0,0.022
shared,credit-services/relatorio-credito-pf/base,1,10,0,0.0,10,100.0,0.022
scpc-portal,recuperacao/negativacao-estrategica/scpc-notification,3,19,0,0.0,19,100.0,0.0418
rotinas-datastage,tech/bigdata/data-engineering/dados-cadastrais-pj,2,11,0,0.0,11,100.0,0.0242
relatorio-credito-pf-base-ejb,tech/site-reliability-engineering/credit-services/relatorio-credito-pf/base,1,10,0,0.0,10,100.0,0.022
bvsas-feature-importances,analytics/modelagem/ferramentas,2,10,0,0.0,10,100.0,0.022
conversor-xml,tech/bigdata/data-engineering/acoes,1,2,0,0.0,2,100.0,0.0044
delinquency,tech/site-reliability-engineering/backoffice/batch,1,10,0,0.0,10,100.0,0.022
